nome;tipologia;tel;email;web;link1;link2;tipoticket;datamodifica;abstract;descrizione;comune;codice_istat;provincia;datainizio;datafine;foto_con_autore
Archimede  un genio tra noi;semplice;0883500117;castello.trani@novaapulia.it;http://www.novaapulia.it;http://www.facebook.com/castelliemuseianimati; ;pagamento;15-feb-16;Un mostra che ripercorre la vita di Archimede e permette di &#8220 toccare con mano&#8221  le sue idee straordinarie  un viaggio tra storia e leggenda alla scoperta delle ricerche che lo hanno reso celebre: dall&#8217 idrostatica alla meccanica  dalla geometria alla matematica. ;Un evento espositivo promosso  dal Polo Museale della Puglia in collaborazione con Impresa Leopizzi e Nova Apuliaconcessionario dei  servizi ai visitatori per i siti statali della Puglia. La mostra &#232  un vero e proprio percorso interattivo  ospitato nella splendida cornice del Castello di Trani. Grazie agli exhibit interattivi (totem  touch screen  postazioni informatiche  guide  DVD) - progettati dal Consiglio Nazionale delle Ricerche - i visitatori potranno sperimentare in prima persona i fenomeni alla base di noti principi  apprendendo dall&#8217 osservazione e interazione diretta quali sono le regole  i comportamenti e le &#8220 leggi&#8221  che li determinano. La mostra permette inoltre di (ri) scoprire la vastit&#224  degli ambiti di studio affrontati dal genio siracusano  figura storicamente certa ma i cui contorni sfumano nella leggenda. Exhibit  testi  spiegazioni e simulazioni sono frutto di una attenta lettura delle opere di Archimede che  a volte fortunosamente  e con molte lacune sono giunte fino a noi. Il principio che ha ispirato gli autori  al di l&#224  del rigore e della correttezza  &#232  stata l&#8217 esigenza di una buona strategia didattica e divulgativa. ;Trani;110009;BT;10-set-15;30-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11079
Stagione di Prosa '15 '16 - Comune di Bari;rassegna;328.6917948;promozione@teatropubblicopugliese.it;http://www.teatropubblicopugliese.it/stagione_rassegna/stagione-di-prosa-15-16-comune-di-bari_191.html; ; ;pagamento;15-feb-16;Cinema e Shakespeare. Il teatro 2015_16 a Bari giocher&#224  su questi due filoni  percorsi che porteranno a nuovi slanci nell&#8217 anno successivo  ;Cinema e Shakespeare. Il teatro 2015_16 a Bari giocher&#224  su questi due filoni  percorsi che porteranno a nuovi slanci nell&#8217 anno successivo  anticipando e preparando le prossime proposte. Il cinema  che ispira drammaturghi o dal quale il teatro prende spunto. Il cinema che condivide volti e poetiche con lo spettacolo dal vivo.  E Shakespeare  presenza costante e universale. Proposta  riproposta  adattata  legame indissolubile tra il testo  il teatro  il cinema  il pubblico. E mentre il 2014 &#232  stato l&#8217 anno della nascita del bardo  l&#8217 anno prossimo  il 2016  sar&#224  celebrato in tutto il mondo il quattrocentesimo anniversario della sua morte. La stagione teatrale di Bari 2015_16 ne anticiper&#224  il ricordo con due proposte affidate a grandi e autorevoli voci (Carlo Cecchi e i polacchi Songs of the Goat Theatre)  dissimili pur complementari tra loro  che comporranno il principio attivo della visione artistica che verr&#224  proposta a Bari nell&#8217 anno teatrale 2016_17.;Bari;72006;BA;10-ott-15;24-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9388**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9387**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9450**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11206
&#34 DIAMOCI TEMPO&#34  - Stagione Teatrale 2015/2016;rassegna;3394695481;associazioneculturale.ubuntu@gmail.com;https://www.facebook.com/Ubuntu-Autoproduzioni-culturali-536171716517719/timeline/; ; ;pagamento;26-ott-15;Una nuova stagione teatrale con l'obiettivo di creare occasioni di incontro e confronto che siano di contenuto ma anche di spensieratezza e leggerezza.;&#34 DIAMOCI TEMPO&#34  &#232  il titolo della rassegna di quest'anno a cura dell'associazione UBUNTU - Autoproduzioni culturali  tempo per riflettere ed ascoltare  risorsa preziosa in una societ&#224  che corre a ritmi frenetici facendoci perdere il senso di comunit&#224   comunit&#224  che si riscopre anche attraverso il teatro  luogo di incontro fra gli attori e gli spettatori  non limitato al momento della rappresentazione  ma con la possibilit&#224  di conoscere e chiacchierare con gli artisti dopo lo spettacolo  degustando insieme i prodotti offerti  anche quest&#8217 anno  dalla COOP. UNATERRA/LA BIOTTEGA.&#13 &#10 &#13 &#10 ;Putignano;72036;BA;16-ott-15;08-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9379**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9380
Stagione di Prosa '15 '16 - Comune di Martina Franca;rassegna;0804805080; ;http://www.teatropubblicopugliese.it/teatro/teatro-verdi_69.html;http://www.teatropubblicopugliese.it; ;pagamento;06-nov-15;Il Teatro Pubblico Pugliese e il Comune di Martina Franca presentano una ricca Stagione di Prosa con spettacoli a partire da Novembre 2015 sino ad ;Il Teatro Pubblico Pugliese e il Comune di Martina Franca presentano una ricca Stagione di Prosa con spettacoli a partire da Novembre 2015 sino ad Aprile 2016 presso il Teatro Verdi di Martina Franca (TA).;Martina Franca;73013;TA;04-nov-15;21-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9978**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9976**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9977
Stagione di Prosa '15 '16 - Comune di Manfredonia;rassegna;0884.532829 - 335.244843; ;http://www.teatropubblicopugliese.it;http://www.teatropubblicopugliese.it/tipo_rassegna_5_manfredonia_3808.html; ;pagamento;27-nov-15;Il Teatro Pubblico Pugliese e il Comune di Manfredonia presentano una ricca Stagione di Prosa con spettacoli a partire da dicembre 2015 sino ad aprile;Il Teatro Pubblico Pugliese e il Comune di Manfredonia presentano una ricca Stagione di Prosa con spettacoli a partire da dicembre 2015 sino ad aprile 2016 presso il Teatro Comunale di Manfredonia.;Manfredonia;71029;FG;05-nov-15;08-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10352
Stagione di Prosa '15 '16 - Comune di Barletta;rassegna; 0883-332456 / 0883-332522; ;http://www.teatrocurci.it;http://www.teatropubblicopugliese.it/;http://www.teatropubblicopugliese.it/teatro/teatro-curci_50.html;pagamento;24-nov-15;Il Teatro Pubblico Pugliese e il Comune di Barletta presentano una ricca Stagione di Prosa con spettacoli a partire da novembre 2015 sino a aprile ;Il Teatro Pubblico Pugliese e il Comune di Barletta presentano una ricca Stagione di Prosa con spettacoli a partire da novembre 2015 sino a aprile 2016 presso il Teatro Curci di Barletta (BAT).;Barletta;110002;BT;06-nov-15;17-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9462**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9463**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9464
STAGIONE CONCERTISTICA &#34 BRINDISICLASSICA&#34  2015/2016 - XXXI EDIZIONE;rassegna;0831581949 - 3288440033;assrota@libero.it;http://www.associazioneninorota.it; ; ;pagamento;14-mar-16;La stagione concertistica &#34 BrindisiClassica&#34   in programma a Brindisi nel periodo novembre 2015 / aprile 2016  &#232  una rassegna di musica colta che si articola in 16 appuntamenti  comprendenti concerti e spettacoli musicali di vario genere  allestiti in diverse locations (Nuovo Teatro Verdi  Salone di rappresentanza della Provincia  Auditorium ex convento S. Chiara e Auditorium IPSSAR &#34 S. Pertini&#34 ).&#13 &#10 ;L'inaugurazione &#232  riservata a quattro giovani talenti della lirica  vincitori e finalisti del Concorso Internazionale &#34 A.Giacomotti&#34  di Voghera. Seguir&#224  l'ensemble &#34 Romabarocca&#34  di Lorenzo Tozzi con Matteo Scarpelli alla tromba  da solista  e in duetto virtuosistico con il soprano Carla Ferrari. Squisitamente al femminile i due successivi appuntamenti: l'Orchestra Femminile del Mediterraneo  diretta da Antonella De Angelis con la solista Francesca Salvemini al flauto e l'originale duo pianistico formato da Paola Biondi e Debora Brunialti  che interagir&#224  con la poesia di Alda Merini  interpretata dalla voce calda e suadente di Sara Bevilacqua. &#200  poi la volta del &#34 Trio Friedrich&#34   con un repertorio da Mozart a Bruch e Piazzolla. Novit&#224  della stagione uno spettacolo per i pi&#249  piccoli con l'opera musicale per ensemble strumentale e voci animate &#34 Il sole  di chi &#232 ?&#34   musiche di Silvia Colasanti su testo di Roberto Piumini  l'allestimento coinvolger&#224  per le scene ed i costumi gli studenti del I.I.S.S. &#34 Marzolla-Simone-Durano&#34  e dell'Istituto Professionale &#34 F. L. Morvillo Falcone&#34  di Brindisi. La parte autunnale si conclude con il recital dell'eclettico pianista jazz Danilo Rea e con l'esilarante spettacolo di musica e teatro di Massimo Lopez con la Jazz Company. &#13 &#10 Da gennaio a marzo il cartellone propone una miniserie di concerti di musica da camera con artisti italiani e stranieri di grande spessore e un repertorio classico  di musica da film  canzone d'autore e sperimentale.  &#13 &#10 Qui sotto la brochure scaricabile con il programma completo.;Brindisi;74001;BR;07-nov-15;23-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9286**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9393
TEATRO IN TASCA XXI EDIZIONE;rassegna;0832 242000;info@teatrokoreja.it;http://www.teatrokoreja.it/koreja/home.php;https://www.facebook.com/cantieriteatralikoreja?fref=ts; ;pagamento;14-mar-16;C&#8217 era una volta il teatro  il luogo dell&#8217 anima. &#13 &#10 Il luogo dove le emozioni entrano senza bussare  senza chiedere. Dove si aprono porte e passaggi;C&#8217 era una volta il teatro  il luogo dell&#8217 anima. &#13 &#10 Il luogo dove le emozioni entrano senza bussare  senza chiedere. Dove si aprono porte e passaggi segreti  dove la vita offre infinite possibilit&#224  per restare e ci si pu&#242  lanciare senza paracadute. Un territorio neutrale fuori da ogni giurisdizione  un mondo magico in cui solo le cose pi&#249  vere  quelle sognate  accadono  ci sono tramonti di cartone  alberi di legno  palazzi costruiti con la luce  spade di carta stagnola  bolle di sapone e mari di stoffa per navigare. E poi  ci sono le persone in carne e passione. Persone dietro le quinte  persone sul palco  persone nella sala  che di questo &#232  fatto il teatro. Avanti  entrate. Mettetevi comodi  tutto &#232  pronto&#8230 &#13 &#10 ;Lecce;75035;LE;08-nov-15;03-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9590
Stagione di Prosa '15 '16 - Comune di Foggia;rassegna; ; ;http://www.teatropubblicopugliese.it;http://www.teatropubblicopugliese.it/teatro/teatro-giordano_348.html; ;pagamento;15-feb-16;Il Teatro Pubblico Pugliese e il Comune di Foggia presentano una ricca Stagione di Prosa con spettacoli a partire da novembre 2015 sino ad aprile 2016;Il Teatro Pubblico Pugliese e il Comune di Foggia presentano una ricca Stagione di Prosa con spettacoli a partire da novembre 2015 sino ad aprile 2016 presso il Teatro Giordano di Foggia (FG).;Foggia;71024;FG;09-nov-15;14-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9631**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9632**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9633**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11207
36^ Stagione Concertistica Amici della Musica di Monopoli;rassegna;3683718174;amicimusicamonopoli@libero.it;http://www.amicimusicamonopoli.com;https://www.facebook.com/Amici-della-Musica-1442817259357450/; ;pagamento;02-nov-15;Rassegna Concertistica di Musica Classica  Jazz d'Autore.;Eccoci a presentare la nostra 36^ Stagione organizzata  come sempre  grazie al contributo della Civica Amministrazione di Monopoli ma anche all&#8217 attenzione del Ministero dei Beni ed Attivit&#224  Culturali e della Regione Puglia. Il cartellone che comprende ben 17 appuntamenti  predisposto come sempre con la preziosa collaborazione del nostro Direttore Artistico M.&#176  Giovanni Antonioni  dimostra il grande sforzo compiuto per assicurare al nostro a&#31 ffezionato pubblico una stagione di concerti di notevole spessore artistico che comprende ancora una volta concerti che abbracciano diversi generi musicali: classica  antica  contemporanea  jazz  etnica-popolare. Senza ombra di dubbio possiamo aff&#31 ermare che il programma che presentiamo &#232  certamente il pi&#249  impegnativo e quali&#30 ficante organizzato nei nostri 36 anni di attivit&#224 .&#13 &#10 ;Monopoli;72030;BA;10-nov-15;22-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9868
